person_id,first_name,last_name,team,description,all_nba_team_number,season,month,week,conference,type,subtype1,subtype2,subtype3
101108,Chris,Paul,New Orleans Hornets,NBA Player of the Month,,2008-09,03/01/2009,,West,Award,Kia Motors,KIPMO,
101108,Chris,Paul,Los Angeles Clippers,All-Defensive Team,1,2014-15,,,1610612746,Award,Kia Motors,KIADT,
101108,Chris,Paul,New Orleans Hornets,NBA Player of the Week,,2007-08,,2008-03-23T00:00:00,West,Award,Kia Motors,KIPWK,
101108,Chris,Paul,New Orleans Hornets,NBA Player of the Week,,2008-09,,2009-03-23T00:00:00,West,Award,Kia Motors,KIPWK,
101108,Chris,Paul,New Orleans Hornets,NBA Player of the Week,,2008-09,,2008-12-22T00:00:00,West,Award,Kia Motors,KIPWK,
101108,Chris,Paul,New Orleans/Okla. City Hornets,NBA Rookie of the Year,,2005-06,,,,Award,Kia Motors,KIROY,
101108,Chris,Paul,Los Angeles Clippers,NBA Player of the Month,,2011-12,04/01/2012,,West,Award,Kia Motors,KIPMO,
101108,Chris,Paul,Los Angeles Clippers,All-NBA,1,2012-13,,,1610612746,Award,Kia Motors,KIANT,
101108,Chris,Paul,New Orleans/Okla. City Hornets,NBA Player of the Week,,2005-06,,2006-02-06T00:00:00,West,Award,Kia Motors,KIPWK,
101108,Chris,Paul,New Orleans/Okla. City Hornets,NBA Rookie of the Month,,2005-06,01/01/2006,,East,Award,Kia Motors,KIRMO,
101108,Chris,Paul,New Orleans/Okla. City Hornets,NBA Rookie of the Month,,2005-06,03/01/2006,,West,Award,Kia Motors,KIRMO,
101108,Chris,Paul,Los Angeles Clippers,All-Defensive Team,1,2013-14,,,1610612746,Award,Kia Motors,KIADT,
101108,Chris,Paul,Los Angeles Clippers,All-NBA,2,2014-15,,,1610612746,Award,Kia Motors,KIANT,
101108,Chris,Paul,Los Angeles Clippers,NBA Player of the Week,,2012-13,,2012-12-17T00:00:00,West,Award,Kia Motors,KIPWK,
101108,Chris,Paul,New Orleans Hornets,NBA Player of the Week,,2007-08,,2007-12-30T00:00:00,West,Award,Kia Motors,KIPWK,
101108,Chris,Paul,New Orleans Hornets,NBA Player of the Month,,2007-08,03/01/2008,,West,Award,Kia Motors,KIPMO,
101108,Chris,Paul,New Orleans Hornets,All-Defensive Team,1,2008-09,,,1610612740,Award,Kia Motors,KIADT,
101108,Chris,Paul,New Orleans Hornets,All-Defensive Team,2,2010-11,,,1610612740,Award,Kia Motors,KIADT,
101108,Chris,Paul,New Orleans Hornets,NBA Player of the Month,,2007-08,12/01/2007,,West,Award,Kia Motors,KIPMO,
101108,Chris,Paul,Los Angeles Clippers,All-Defensive Team,1,2012-13,,,1610612746,Award,Kia Motors,KIADT,
101108,Chris,Paul,New Orleans Hornets,NBA Player of the Month,,2008-09,11/01/2008,,West,Award,Kia Motors,KIPMO,
101108,Chris,Paul,Los Angeles Clippers,NBA All-Star Most Valuable Player,,2012-13,,,,Award,Kia Motors,KAMVP,
101108,Chris,Paul,USA,Olympic Gold Medal,,2008,,,,Award,Olympic,Gold,
101108,Chris,Paul,New Orleans Hornets,NBA Player of the Month,,2009-10,01/01/2010,,West,Award,Kia Motors,KIPMO,
101108,Chris,Paul,New Orleans/Okla. City Hornets,NBA Rookie of the Month,,2005-06,04/01/2006,,West,Award,Kia Motors,KIRMO,
101108,Chris,Paul,Los Angeles Clippers,All-NBA,3,2010-11,,,1610612746,Award,Kia Motors,KIANT,
101108,Chris,Paul,New Orleans Hornets,All-NBA,2,2008-09,,,1610612740,Award,Kia Motors,KIANT,
101108,Chris,Paul,LA Clippers,All-NBA,2,2015-16,,,West,Award,Kia Motors,KIANT,
